CaseNum,Status,Date,Generated_at,Status_Short
1990272358,Card Was Mailed To Me,"May 3, 2021",20210503-164738,
1990298289,Card Was Mailed To Me,"May 3, 2021",20210503-164738,
1990298292,Card Was Mailed To Me,"May 3, 2021",20210503-164738,
1990298295,Card Was Mailed To Me,"May 3, 2021",20210503-164738,
1990042866,RFE Responded,"May 3, 2021",,2a-RFE
1990088336,New Card Is Being Produced,"May 3, 2021",,4-Approved
1990114678,RFE Responded,"May 3, 2021",,2a-RFE
1990318382,Case Was Approved,"May 3, 2021",,4-Approved
1990126393,RFE Sent,"May 3, 2021",,2a-RFE
1990088336,Case Was Approved,"May 4, 2021",,4-Approved
1990138993,Card Was Mailed To Me,"May 4, 2021",,4-Approved
1990140435,RFE Sent,"May 4, 2021",,2a-RFE
1990313055,RFE Responded,"May 4, 2021",,2a-RFE
1990134864,RFE Responded,"May 5, 2021",,2a-RFE
1990088336,Card Was Mailed To Me,"May 6, 2021",,4-Approved
1990091568,New Card Is Being Produced,"May 6, 2021",,4-Approved
1990091571,New Card Is Being Produced,"May 6, 2021",,4-Approved
1990091574,New Card Is Being Produced,"May 6, 2021",,4-Approved
1990091577,New Card Is Being Produced,"May 6, 2021",,4-Approved
1990272358,Card Was Delivered,"May 6, 2021",,4-Approved
1990091568,Case Was Approved,"May 7, 2021",,4-Approved
1990091571,Case Was Approved,"May 7, 2021",,4-Approved
1990091574,Case Was Approved,"May 7, 2021",,4-Approved
1990091577,Case Was Approved,"May 7, 2021",,4-Approved
1990133517,RFE Responded,"May 7, 2021",,2a-RFE
1990138993,Card Was Delivered,"May 7, 2021",,4-Approved
1990077742,New Card Is Being Produced,"May 10, 2021",,4-Approved
1990088336,Card Was Delivered,"May 10, 2021",,4-Approved
1990173227,RFE Sent,"May 10, 2021",,2a-RFE
1990173230,RFE Sent,"May 10, 2021",,2a-RFE
1990173233,RFE Sent,"May 10, 2021",,2a-RFE
1990236178,RFE Responded,"May 10, 2021",,2a-RFE
1990045766,RFE Responded,"May 10, 2021",,2a-RFE
1990045769,RFE Responded,"May 10, 2021",,2a-RFE
1990077742,Case Was Approved,"May 11, 2021",,4-Approved
1990091568,Card Was Mailed To Me,"May 11, 2021",,4-Approved
1990091571,Card Was Mailed To Me,"May 11, 2021",,4-Approved
1990091574,Card Was Mailed To Me,"May 11, 2021",,4-Approved
1990091577,Card Was Mailed To Me,"May 11, 2021",,4-Approved
1990077742,Card Was Mailed To Me,"May 12, 2021",,4-Approved
1990134864,New Card Is Being Produced,"May 13, 2021",,4-Approved
1990309837,New Card Is Being Produced,"May 13, 2021",,4-Approved
1990042866,New Card Is Being Produced,"May 14, 2021",,4-Approved
1990059445,New Card Is Being Produced,"May 14, 2021",,4-Approved
1990133517,New Card Is Being Produced,"May 14, 2021",,4-Approved
1990134864,Case Was Approved,"May 14, 2021",,4-Approved
1990154209,New Card Is Being Produced,"May 14, 2021",,4-Approved
1990154212,New Card Is Being Produced,"May 14, 2021",,4-Approved
1990309837,Case Was Approved,"May 14, 2021",,4-Approved
1990077742,Card Was Delivered,"May 15, 2021",,4-Approved
1990042866,Case Was Approved,"May 17, 2021",,4-Approved
1990059445,Case Was Approved,"May 17, 2021",,4-Approved
1990133517,Case Was Approved,"May 17, 2021",,4-Approved
1990134864,Card Was Mailed To Me,"May 17, 2021",,4-Approved
1990297704,Name Was Updated,"May 18, 2021",,2c-UpdateInfo
1990298292,Card Was Returned To USCIS,"May 17, 2021",,9-Others
1990008039,RFE Sent,"May 18, 2021",,2a-RFE
1990154209,Card Was Mailed To Me,"May 18, 2021",,4-Approved
1990154212,Card Was Mailed To Me,"May 18, 2021",,4-Approved
1990309837,Card Was Mailed To Me,"May 18, 2021",,4-Approved
1990042866,Card Was Mailed To Me,"May 19, 2021",,4-Approved
1990059445,Card Was Mailed To Me,"May 19, 2021",,4-Approved
1990133517,Card Was Mailed To Me,"May 19, 2021",,4-Approved
1990212984,Interview Was Ready,"May 19, 2021",,3-Interview
1990328868,Fingerprints Taken,"May 19, 2021",,1-Fingerprint-taken
1990042866,Card Was Delivered,"May 21, 2021",,4-Approved
1990059445,Card Was Delivered,"May 21, 2021",,4-Approved
1990134864,Card Was Delivered,"May 20, 2021",,4-Approved
1990154209,Card Was Delivered,"May 21, 2021",,4-Approved
1990154212,Card Was Delivered,"May 21, 2021",,4-Approved
1990309837,Card Was Delivered,"May 21, 2021",,4-Approved
1990337213,Interview Was Ready,"May 21, 2021",,3-Interview
1990133517,Card Was Delivered,"May 22, 2021",,4-Approved
1990045763,RFE Responded,"May 24, 2021",,2a-RFE
1990298289,Card Was Returned To USCIS,"May 24, 2021",,9-Others
1990298292,Document Was Mailed,"May 24, 2021",,9-Others
1990077745,New Card Is Being Produced,"May 25, 2021",,4-Approved
1990077748,New Card Is Being Produced,"May 25, 2021",,4-Approved
1990140435,RFE Responded,"May 25, 2021",,2a-RFE
1990212984,Interview Was Scheduled,"May 25, 2021",,3-Interview
1990290043,RFE Sent,"May 25, 2021",,2a-RFE
1990337213,Interview Was Scheduled,"May 25, 2021",,3-Interview
1990077745,Case Was Approved,"May 26, 2021",,4-Approved
1990077748,Case Was Approved,"May 26, 2021",,4-Approved
1990290043,Case Was Reopened,"May 26, 2021",,2z-Misc
1990077745,Card Was Mailed To Me,"May 27, 2021",,4-Approved
1990077748,Card Was Mailed To Me,"May 27, 2021",,4-Approved
1990298295,Card Was Returned To USCIS,"May 27, 2021",,9-Others
1990114675,RFE Responded,"May 27, 2021",,2a-RFE
1990236178,New Card Is Being Produced,"May 28, 2021",,4-Approved
1990032868,RFE Sent,"June 1, 2021",,2a-RFE
1990045763,New Card Is Being Produced,"June 2, 2021",,4-Approved
1990236178,Case Was Approved,"June 1, 2021",,4-Approved
1990297373,Interview Was Completed,"June 02, 2021",,3-Interview
1990322984,RFE Sent,"June 1, 2021",,2a-RFE
1990322987,RFE Sent,"June 1, 2021",,2a-RFE
1990341634,New Card Is Being Produced,"June 1, 2021",,4-Approved
1990045763,Case Was Approved,"June 2, 2021",,4-Approved
1990073109,RFE Responded,"June 2, 2021",,2a-RFE
1990233081,RFE Sent,"June 2, 2021",,2a-RFE
1990236178,Card Was Mailed To Me,"June 2, 2021",,4-Approved
1990240579,RFE Responded,"June 2, 2021",,2a-RFE
1990337210,New Card Is Being Produced,"June 2, 2021",,4-Approved
1990341634,Case Was Approved,"June 2, 2021",,4-Approved
1990126393,RFE Responded,"June 3, 2021",,2a-RFE
1990233081,Case Was Reopened,"June 3, 2021",,2z-Misc
1990320354,New Card Is Being Produced,"June 3, 2021",,4-Approved
1990337210,Case Was Approved,"June 3, 2021",,4-Approved
1990045763,Card Was Mailed To Me,"June 4, 2021",,4-Approved
1990298289,Document Was Mailed,"June 05, 2021",,9-Others
1990298295,Document Was Mailed,"June 05, 2021",,9-Others
1990320354,Case Was Approved,"June 4, 2021",,4-Approved
1990341634,Card Was Mailed To Me,"June 4, 2021",,4-Approved
1990236178,Card Was Delivered,"June 5, 2021",,4-Approved
1990113823,RFE Sent,"June 7, 2021",,2a-RFE
1990135235,Case Was Denied,"June 6, 2021",,4-Denied
1990318382,Fingerprints Taken,"June 7, 2021",,1-Fingerprint-taken
1990320354,Card Was Mailed To Me,"June 7, 2021",,4-Approved
1990337210,Card Was Mailed To Me,"June 7, 2021",,4-Approved
1990298775,New Card Is Being Produced,"June 8, 2021",,4-Approved
1990309808,RFE Responded,"June 8, 2021",,2a-RFE
1990028809,New Card Is Being Produced,"June 9, 2021",,4-Approved
1990045763,Card Was Delivered,"June 9, 2021",,4-Approved
1990126393,New Card Is Being Produced,"June 10, 2021",,4-Approved
1990151688,RFE Sent,"June 9, 2021",,2a-RFE
1990303891,RFE Sent,"June 9, 2021",,2a-RFE
1990309811,RFE Responded,"June 9, 2021",,2a-RFE
1990310842,RFE Sent,"June 9, 2021",,2a-RFE
1990318382,Card Was Mailed To Me,"June 9, 2021",,4-Approved
1990320354,Card Was Delivered,"June 9, 2021",,4-Approved
1990322977,Case Was Approved,"June 9, 2021",,4-Approved
1990322978,Case Was Approved,"June 9, 2021",,4-Approved
1990322979,Case Was Approved,"June 9, 2021",,4-Approved
1990328207,RFE Sent,"June 9, 2021",,2a-RFE
1990341634,Card Was Delivered,"June 9, 2021",,4-Approved
1990028809,Case Was Approved,"June 10, 2021",,4-Approved
1990073109,New Card Is Being Produced,"June 10, 2021",,4-Approved
1990114675,New Card Is Being Produced,"June 10, 2021",,4-Approved
1990114678,New Card Is Being Produced,"June 10, 2021",,4-Approved
1990298775,Case Was Approved,"June 10, 2021",,4-Approved
1990319074,RFE Responded,"June 10, 2021",,2a-RFE
1990073109,Case Was Approved,"June 11, 2021",,4-Approved
1990114675,Case Was Approved,"June 11, 2021",,4-Approved
1990114678,Case Was Approved,"June 11, 2021",,4-Approved
1990298775,Card Was Mailed To Me,"June 11, 2021",,4-Approved
1990300229,Case Was Approved,"June 11, 2021",,4-Approved
1990319074,Name Was Updated,"June 11, 2021",,2c-UpdateInfo
1990322977,Card Was Mailed To Me,"June 11, 2021",,4-Approved
1990322978,Card Was Mailed To Me,"June 11, 2021",,4-Approved
1990322979,Card Was Mailed To Me,"June 11, 2021",,4-Approved
1990337210,Card Was Delivered,"June 11, 2021",,4-Approved
1990028809,Card Was Mailed To Me,"June 14, 2021",,4-Approved
1990126393,Card Was Mailed To Me,"June 14, 2021",,4-Approved
1990284788,RFE Sent,"June 14, 2021",,2a-RFE
1990284791,RFE Sent,"June 14, 2021",,2a-RFE
1990284794,RFE Sent,"June 14, 2021",,2a-RFE
1990284797,RFE Sent,"June 14, 2021",,2a-RFE
1990291141,RFE Sent,"June 14, 2021",,2a-RFE
1990318382,Card Was Delivered,"June 12, 2021",,4-Approved
1990338780,RFE Sent,"June 14, 2021",,2a-RFE
1990338782,RFE Sent,"June 14, 2021",,2a-RFE
1990338784,RFE Sent,"June 14, 2021",,2a-RFE
1990338786,RFE Sent,"June 14, 2021",,2a-RFE
1990073109,Card Was Mailed To Me,"June 15, 2021",,4-Approved
1990114675,Card Was Mailed To Me,"June 15, 2021",,4-Approved
1990114678,Card Was Mailed To Me,"June 15, 2021",,4-Approved
1990298775,Card Was Delivered,"June 15, 2021",,4-Approved
1990300229,Card Was Mailed To Me,"June 15, 2021",,4-Approved
1990315902,Fingerprints Taken,"June 16, 2021",,1-Fingerprint-taken
1990315908,Fingerprints Taken,"June 16, 2021",,1-Fingerprint-taken
1990322977,Card Was Delivered,"June 16, 2021",,4-Approved
1990322978,Card Was Delivered,"June 16, 2021",,4-Approved
1990322979,Card Was Delivered,"June 16, 2021",,4-Approved
1990322984,Fingerprints Taken,"June 16, 2021",,1-Fingerprint-taken
1990322987,Fingerprints Taken,"June 16, 2021",,1-Fingerprint-taken
1990323731,New Card Is Being Produced,"June 16, 2021",,4-Approved
1990335119,RFE Sent,"June 16, 2021",,2a-RFE
1990335121,RFE Sent,"June 16, 2021",,2a-RFE
1990028809,Card Was Delivered,"June 17, 2021",,4-Approved
1990114675,Card Was Delivered,"June 17, 2021",,4-Approved
1990114678,Card Was Delivered,"June 17, 2021",,4-Approved
1990126393,Card Was Delivered,"June 17, 2021",,4-Approved
1990334218,RFE Sent,"June 17, 2021",,2a-RFE
1990334221,RFE Sent,"June 17, 2021",,2a-RFE
1990073109,Card Was Delivered,"June 18, 2021",,4-Approved
1990173227,RFE Responded,"June 17, 2021",,2a-RFE
1990173230,RFE Responded,"June 17, 2021",,2a-RFE
1990173233,RFE Responded,"June 17, 2021",,2a-RFE
1990300229,Card Was Delivered,"June 18, 2021",,4-Approved
1990323726,Name Was Updated,"June 21, 2021",,2c-UpdateInfo
1990006179,RFE Sent,"June 21, 2021",,2a-RFE
1990304990,Interview Was Ready,"June 21, 2021",,3-Interview
1990113823,RFE Responded,"June 22, 2021",,2a-RFE
1990126393,Notice Returned,"June 22, 2021",,9-Others
1990242631,RFE Responded,"June 22, 2021",,2a-RFE
1990323731,Card Was Mailed To Me,"June 22, 2021",,4-Approved
1990017563,Expedite Request Received,"June 24, 2021",,2b-Expedite
1990020903,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990020906,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990020909,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990020912,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990020915,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990040307,RFE Responded,"June 23, 2021",,2a-RFE
1990126393,Case Was Approved,"June 23, 2021",,4-Approved
1990235116,New Card Is Being Produced,"June 23, 2021",,4-Approved
1990235118,New Card Is Being Produced,"June 23, 2021",,4-Approved
1990235120,RFE Sent,"June 23, 2021",,2a-RFE
1990251091,RFE Sent,"June 23, 2021",,2a-RFE
1990288111,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990288114,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990288117,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990288120,Name Was Updated,"June 23, 2021",,2c-UpdateInfo
1990304990,Interview Was Scheduled,"June 23, 2021",,3-Interview
1990017563,RFE Sent,"June 24, 2021",,2a-RFE
1990109510,Case Was Approved,"June 24, 2021",,4-Approved
1990113823,New Card Is Being Produced,"June 24, 2021",,4-Approved
1990235116,Case Was Approved,"June 24, 2021",,4-Approved
1990235118,Case Was Approved,"June 24, 2021",,4-Approved
1990323731,Card Was Delivered,"June 24, 2021",,4-Approved
1990327635,Case Was Approved,"June 24, 2021",,4-Approved
1990327638,Case Was Approved,"June 24, 2021",,4-Approved
1990340282,RFE Sent,"June 24, 2021",,2a-RFE
1990341342,RFE Sent,"June 24, 2021",,2a-RFE
1990315784,RFE Sent,"June 25, 2021",,2a-RFE
1990326939,Case Was Approved,"June 25, 2021",,4-Approved
1990017563,Expedite Request Denied,"June 28, 2021",,2b-Expedite
1990042830,New Card Is Being Produced,"June 28, 2021",,4-Approved
1990109510,Card Was Mailed To Me,"June 28, 2021",,4-Approved
1990113823,Case Was Approved,"June 28, 2021",,4-Approved
1990182574,New Card Is Being Produced,"June 28, 2021",,4-Approved
1990235116,Card Was Mailed To Me,"June 28, 2021",,4-Approved
1990235118,Card Was Mailed To Me,"June 28, 2021",,4-Approved
1990042830,Case Was Approved,"June 29, 2021",,4-Approved
1990113823,Card Was Mailed To Me,"June 29, 2021",,4-Approved
1990212984,RFE Sent,"June 29, 2021",,2a-RFE
1990300070,RFE Sent,"June 29, 2021",,2a-RFE
1990300073,RFE Sent,"June 29, 2021",,2a-RFE
1990300076,RFE Sent,"June 29, 2021",,2a-RFE
1990319068,RFE Sent,"June 29, 2021",,2a-RFE
1990323738,RFE Sent,"June 29, 2021",,2a-RFE
1990326939,Card Was Mailed To Me,"June 29, 2021",,4-Approved
1990327635,Card Was Mailed To Me,"June 29, 2021",,4-Approved
1990327638,Card Was Mailed To Me,"June 29, 2021",,4-Approved
1990337213,Interview Was Completed,"June 29, 2021",,3-Interview
1990032868,RFE Responded,"June 29, 2021",,2a-RFE
1990045766,New Card Is Being Produced,"June 30, 2021",,4-Approved
1990045769,New Card Is Being Produced,"June 30, 2021",,4-Approved
1990245252,Expedite Request Received,"June 30, 2021",,2b-Expedite
1990042830,Card Was Mailed To Me,"July 1, 2021",,4-Approved
1990045766,Case Was Approved,"July 1, 2021",,4-Approved
1990045769,Case Was Approved,"July 1, 2021",,4-Approved
1990109510,Card Was Delivered,"July 1, 2021",,4-Approved
1990182574,Card Was Mailed To Me,"July 1, 2021",,4-Approved
1990235116,Card Was Delivered,"July 1, 2021",,4-Approved
1990235118,Card Was Delivered,"July 1, 2021",,4-Approved
1990326939,Card Was Delivered,"July 1, 2021",,4-Approved
1990327635,Card Was Delivered,"July 1, 2021",,4-Approved
1990327638,Card Was Delivered,"July 1, 2021",,4-Approved
1990235120,RFE Responded,"July 1, 2021",,2a-RFE
1990125961,Card Was Mailed To Me,"July 2, 2021",,4-Approved
1990040307,New Card Is Being Produced,"July 7, 2021",,4-Approved
1990042830,Card Was Delivered,"July 6, 2021",,4-Approved
1990045766,Card Was Mailed To Me,"July 6, 2021",,4-Approved
1990045769,Card Was Mailed To Me,"July 6, 2021",,4-Approved
1990143451,Interview Was Ready,"July 7, 2021",,3-Interview
1990212984,New Card Is Being Produced,"July 6, 2021",,4-Approved
1990302576,RFE Sent,"July 7, 2021",,2a-RFE
1990302579,RFE Sent,"July 7, 2021",,2a-RFE
1990302582,RFE Sent,"July 7, 2021",,2a-RFE
1990302584,RFE Sent,"July 7, 2021",,2a-RFE
1990303921,RFE Sent,"July 7, 2021",,2a-RFE
1990303924,RFE Sent,"July 7, 2021",,2a-RFE
1990303927,RFE Sent,"July 7, 2021",,2a-RFE
1990310344,RFE Sent,"July 7, 2021",,2a-RFE
1990323708,RFE Responded,"July 6, 2021",,2a-RFE
1990328970,RFE Sent,"July 6, 2021",,2a-RFE
1990334960,RFE Sent,"July 7, 2021",,2a-RFE
1990006179,RFE Responded,"July 7, 2021",,2a-RFE
1990017563,RFE Responded,"July 7, 2021",,2a-RFE
1990113823,Card Was Delivered,"July 7, 2021",,4-Approved
1990125958,Card Was Mailed To Me,"July 7, 2021",,4-Approved
1990212984,Case Was Approved,"July 7, 2021",,4-Approved
1990233081,RFE Responded,"July 7, 2021",,2a-RFE
1990291141,RFE Responded,"July 7, 2021",,2a-RFE
1990303891,RFE Responded,"July 7, 2021",,2a-RFE
1990322984,RFE Responded,"July 7, 2021",,2a-RFE
1990322987,RFE Responded,"July 7, 2021",,2a-RFE
1990040307,Case Was Approved,"July 8, 2021",,4-Approved
1990045766,Card Was Delivered,"July 8, 2021",,4-Approved
1990125961,Card Was Delivered,"July 8, 2021",,4-Approved
1990233081,Name Was Updated,"July 8, 2021",,2c-UpdateInfo
1990260656,Duplicate Notice Was Mailed,"July 8, 2021",,9-Others
1990242631,New Card Is Being Produced,"July 9, 2021",,4-Approved
1990297318,Expedite Request Received,"July 9, 2021",,2b-Expedite
1990040307,Card Was Mailed To Me,"July 9, 2021",,4-Approved
1990045769,Card Was Delivered,"July 9, 2021",,4-Approved
1990212984,Card Was Mailed To Me,"July 9, 2021",,4-Approved
1990303891,Name Was Updated,"July 9, 2021",,2c-UpdateInfo
1990322981,RFE Responded,"July 9, 2021",,2a-RFE
1990340282,RFE Responded,"July 9, 2021",,2a-RFE
1990341342,RFE Responded,"July 9, 2021",,2a-RFE
1990125958,Card Was Delivered,"July 10, 2021",,4-Approved
1990136241,Interview Was Ready,"July 10, 2021",,3-Interview
1990182574,Card Was Delivered,"July 10, 2021",,4-Approved
1990009809,RFE Sent,"July 12, 2021",,2a-RFE
1990100943,Interview Was Completed,"July 12, 2021",,3-Interview
1990136241,Interview Was Scheduled,"July 12, 2021",,3-Interview
1990242631,Case Was Approved,"July 12, 2021",,4-Approved
1990162357,RFE Sent,"July 13, 2021",,2a-RFE
1990169767,RFE Sent,"July 13, 2021",,2a-RFE
1990169770,RFE Sent,"July 13, 2021",,2a-RFE
1990169773,RFE Sent,"July 13, 2021",,2a-RFE
1990226177,RFE Sent,"July 14, 2021",,2a-RFE
1990242631,Card Was Mailed To Me,"July 13, 2021",,4-Approved
1990318214,RFE Sent,"July 13, 2021",,2a-RFE
1990040307,Card Was Delivered,"July 14, 2021",,4-Approved
1990212984,Card Was Delivered,"July 14, 2021",,4-Approved
1990322984,New Card Is Being Produced,"July 14, 2021",,4-Approved
1990322987,New Card Is Being Produced,"July 14, 2021",,4-Approved
1990328967,New Card Is Being Produced,"July 14, 2021",,4-Approved
1990059549,Case Was Approved,"July 16, 2021",,4-Approved
1990303198,Case Was Approved,"July 16, 2021",,4-Approved
1990303200,Case Was Approved,"July 16, 2021",,4-Approved
1990303206,Case Was Approved,"July 16, 2021",,4-Approved
1990304295,RFE Sent,"July 15, 2021",,2a-RFE
1990322984,Case Was Approved,"July 15, 2021",,4-Approved
1990322987,Case Was Approved,"July 15, 2021",,4-Approved
1990328967,Case Was Approved,"July 15, 2021",,4-Approved
1990242631,Card Was Delivered,"July 16, 2021",,4-Approved
1990314939,New Card Is Being Produced,"July 16, 2021",,4-Approved
1990161963,RFE Sent,"July 19, 2021",,2a-RFE
1990303200,Card Was Mailed To Me,"July 19, 2021",,4-Approved
1990303206,Card Was Mailed To Me,"July 19, 2021",,4-Approved
1990310842,New Card Is Being Produced,"July 19, 2021",,4-Approved
1990314939,Case Was Approved,"July 19, 2021",,4-Approved
1990322984,Card Was Mailed To Me,"July 19, 2021",,4-Approved
1990322987,Card Was Mailed To Me,"July 19, 2021",,4-Approved
1990328967,Card Was Mailed To Me,"July 19, 2021",,4-Approved
1990338423,RFE Sent,"July 19, 2021",,2a-RFE
1990338426,RFE Sent,"July 19, 2021",,2a-RFE
1990338429,RFE Sent,"July 19, 2021",,2a-RFE
1990338432,RFE Sent,"July 19, 2021",,2a-RFE
1990338435,RFE Sent,"July 19, 2021",,2a-RFE
1990341342,New Card Is Being Produced,"July 19, 2021",,4-Approved
1990324109,Fingerprints Taken,"July 20, 2021",,1-Fingerprint-taken
1990212739,RFE Sent,"July 21, 2021",,2a-RFE
1990212742,RFE Sent,"July 21, 2021",,2a-RFE
1990226199,RFE Sent,"July 21, 2021",,2a-RFE
1990250010,RFE Sent,"July 21, 2021",,2a-RFE
1990250013,RFE Sent,"July 21, 2021",,2a-RFE
1990303198,New Card Is Being Produced,"July 21, 2021",,4-Approved
1990303200,Card Was Delivered,"July 21, 2021",,4-Approved
1990303206,Card Was Delivered,"July 21, 2021",,4-Approved
1990303891,New Card Is Being Produced,"July 21, 2021",,4-Approved
1990305917,RFE Sent,"July 21, 2021",,2a-RFE
1990314939,Card Was Mailed To Me,"July 21, 2021",,4-Approved
1990323712,RFE Sent,"July 21, 2021",,2a-RFE
1990323714,RFE Sent,"July 21, 2021",,2a-RFE
1990323716,RFE Sent,"July 21, 2021",,2a-RFE
1990323718,RFE Sent,"July 21, 2021",,2a-RFE
1990323720,RFE Sent,"July 21, 2021",,2a-RFE
1990323722,RFE Sent,"July 21, 2021",,2a-RFE
1990323724,RFE Sent,"July 21, 2021",,2a-RFE
1990323726,RFE Sent,"July 21, 2021",,2a-RFE
1990324112,Fingerprints Taken,"July 21, 2021",,1-Fingerprint-taken
1990327121,Fingerprints Taken,"July 21, 2021",,1-Fingerprint-taken
1990335514,RFE Sent,"July 21, 2021",,2a-RFE
1990335516,RFE Sent,"July 21, 2021",,2a-RFE
1990335518,RFE Sent,"July 21, 2021",,2a-RFE
1990340282,New Card Is Being Produced,"July 21, 2021",,4-Approved
1990341342,Case Was Approved,"July 21, 2021",,4-Approved
1990006179,Case Was Approved,"July 23, 2021",,4-Approved
1990059549,Card Was Delivered,"July 23, 2021",,4-Approved
1990163837,Notice Explaining USCIS Actions Was Mailed,"July 22, 2021",,9-Others
1990163839,Notice Explaining USCIS Actions Was Mailed,"July 23, 2021",,9-Others
1990240579,New Card Is Being Produced,"July 23, 2021",,4-Approved
1990303891,Case Was Approved,"July 22, 2021",,4-Approved
1990310842,Card Was Mailed To Me,"July 22, 2021",,4-Approved
1990320357,Fingerprints Taken,"July 22, 2021",,1-Fingerprint-taken
1990322981,Withdrawal Acknowledged,"July 22, 2021",,7-Withdrawn
1990322984,Card Was Delivered,"July 22, 2021",,4-Approved
1990322987,Card Was Delivered,"July 22, 2021",,4-Approved
1990328198,Case Was Denied,"July 22, 2021",,4-Denied
1990328201,Case Was Denied,"July 22, 2021",,4-Denied
1990328363,Expedite Request Denied,"July 22, 2021",,2b-Expedite
1990328964,Case Was Approved,"July 23, 2021",,4-Approved
1990328967,Card Was Delivered,"July 22, 2021",,4-Approved
