CaseNum,Status,Date,Generated_at,Status_Short
1990127683,Notice Explaining USCIS Actions Was Mailed,"September 17, 2021",,9-Others
1990128342,Notice Explaining USCIS Actions Was Mailed,"September 17, 2021",,9-Others
1990297373,Case Was Approved,"September 17, 2021",,4-Approved
1990310344,New Card Is Being Produced,"September 17, 2021",,4-Approved
1990315902,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990315906,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990315908,Card Was Mailed To Me,"September 17, 2021",,4-Approved
1990328207,Card Was Delivered,"September 17, 2021",,4-Approved
1990334218,Card Was Delivered,"September 17, 2021",,4-Approved
1990334221,Card Was Delivered,"September 17, 2021",,4-Approved
1990315904,Card Was Mailed To Me,"September 20, 2021",,4-Approved
1990172866,Case Was Transferred,"September 21, 2021",,0-Received
1990297373,Card Was Mailed To Me,"September 21, 2021",,4-Approved
1990310344,Case Was Approved,"September 21, 2021",,4-Approved
1990315902,Card Was Delivered,"September 21, 2021",,4-Approved
1990315906,Card Was Delivered,"September 21, 2021",,4-Approved
1990315908,Card Was Delivered,"September 21, 2021",,4-Approved
1990001982,Interview Was Completed,"September 23, 2021",,3-Interview
1990008039,Card Was Delivered,"September 22, 2021",,4-Approved
1990069807,Card Was Delivered,"September 22, 2021",,4-Approved
1990132062,New Card Is Being Produced,"September 22, 2021",,4-Approved
1990310344,Card Was Mailed To Me,"September 22, 2021",,4-Approved
1990315904,Card Was Delivered,"September 22, 2021",,4-Approved
1990327626,Case Was Transferred,"September 22, 2021",,0-Received
1990334960,RFE Responded,"September 22, 2021",,2a-RFE
1990017563,New Card Is Being Produced,"September 23, 2021",,4-Approved
1990132062,Case Was Approved,"September 23, 2021",,4-Approved
1990323738,Fingerprints Taken,"September 23, 2021",,1-Fingerprint-taken
1990318214,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990321359,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990321362,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990322118,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990323712,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990323759,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990324767,Fingerprints Taken,"September 24, 2021",,1-Fingerprint-taken
1990288103,Fingerprints Taken,"September 25, 2021",,1-Fingerprint-taken
1990297373,Card Was Delivered,"September 25, 2021",,4-Approved
1990017563,Case Was Approved,"September 27, 2021",,4-Approved
1990169767,New Card Is Being Produced,"September 27, 2021",,4-Approved
1990169770,New Card Is Being Produced,"September 27, 2021",,4-Approved
1990169773,New Card Is Being Produced,"September 27, 2021",,4-Approved
1990310344,Card Was Delivered,"September 27, 2021",,4-Approved
1990317053,Fingerprints Taken,"September 27, 2021",,1-Fingerprint-taken
1990319068,New Card Is Being Produced,"September 27, 2021",,4-Approved
1990323738,Card Was Mailed To Me,"September 27, 2021",,4-Approved
1990017563,Card Was Mailed To Me,"September 28, 2021",,4-Approved
1990132062,Card Was Mailed To Me,"September 28, 2021",,4-Approved
1990317053,New Card Is Being Produced,"September 28, 2021",,4-Approved
1990318214,Card Was Mailed To Me,"September 28, 2021",,4-Approved
1990169767,Card Was Mailed To Me,"September 29, 2021",,4-Approved
1990169770,Card Was Mailed To Me,"September 29, 2021",,4-Approved
1990169773,Card Was Mailed To Me,"September 29, 2021",,4-Approved
1990317053,Case Was Approved,"September 29, 2021",,4-Approved
1990319068,Card Was Mailed To Me,"September 29, 2021",,4-Approved
1990323738,Card Was Delivered,"September 29, 2021",,4-Approved
1990203909,New Card Is Being Produced,"September 30, 2021",,4-Approved
1990203912,New Card Is Being Produced,"September 30, 2021",,4-Approved
1990251091,New Card Is Being Produced,"September 30, 2021",,4-Approved
1990017563,Card Was Delivered,"October 1, 2021",,4-Approved
1990317053,Card Was Mailed To Me,"October 1, 2021",,4-Approved
1990318214,Card Was Delivered,"October 1, 2021",,4-Approved
1990319068,Card Was Delivered,"October 2, 2021",,4-Approved
1990127748,New Card Is Being Produced,"October 4, 2021",,4-Approved
1990203909,Case Was Approved,"October 4, 2021",,4-Approved
1990203912,Case Was Approved,"October 4, 2021",,4-Approved
1990251091,Case Was Approved,"October 4, 2021",,4-Approved
1990290043,New Card Is Being Produced,"October 4, 2021",,4-Approved
1990314931,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990318682,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990318685,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990318688,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990319983,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990314934,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990321365,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990325487,Fingerprints Taken,"October 4, 2021",,1-Fingerprint-taken
1990127748,Case Was Approved,"October 5, 2021",,4-Approved
1990203909,Card Was Mailed To Me,"October 5, 2021",,4-Approved
1990203912,Card Was Mailed To Me,"October 5, 2021",,4-Approved
1990319980,Fingerprints Taken,"October 5, 2021",,1-Fingerprint-taken
1990323716,Fingerprints Taken,"October 5, 2021",,1-Fingerprint-taken
1990127748,Card Was Mailed To Me,"October 6, 2021",,4-Approved
1990323712,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990323714,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990323716,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990323718,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990323720,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990323724,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990323726,New Card Is Being Produced,"October 6, 2021",,4-Approved
1990085716,Case Was Denied,"October 7, 2021",,4-Denied
1990107262,Expedite Request Denied,"October 7, 2021",,2b-Expedite
1990226199,RFE Responded,"October 7, 2021",,2a-RFE
1990290043,Card Was Mailed To Me,"October 7, 2021",,4-Approved
1990317053,Card Was Delivered,"October 7, 2021",,4-Approved
1990323712,Case Was Approved,"October 7, 2021",,4-Approved
1990323714,Case Was Approved,"October 7, 2021",,4-Approved
1990323716,Case Was Approved,"October 7, 2021",,4-Approved
1990323718,Case Was Approved,"October 7, 2021",,4-Approved
1990323720,Case Was Approved,"October 7, 2021",,4-Approved
1990323724,Case Was Approved,"October 7, 2021",,4-Approved
1990323726,Case Was Approved,"October 7, 2021",,4-Approved
1990334960,New Card Is Being Produced,"October 7, 2021",,4-Approved
1990203909,Card Was Delivered,"October 7, 2021",,4-Approved
1990203912,Card Was Delivered,"October 8, 2021",,4-Approved
1990212739,Case Was Transferred,"October 8, 2021",,0-Received
1990212742,Case Was Transferred,"October 8, 2021",,0-Received
1990316488,Fingerprints Taken,"October 8, 2021",,1-Fingerprint-taken
1990318040,Fingerprints Taken,"October 8, 2021",,1-Fingerprint-taken
1990334960,Case Was Approved,"October 8, 2021",,4-Approved
1990127748,Card Was Delivered,"October 9, 2021",,4-Approved
1990288103,Name Was Updated,"October 12, 2021",,2c-UpdateInfo
1990323712,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990323714,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990323716,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990323718,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990323720,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990323724,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990323726,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990334960,Card Was Mailed To Me,"October 12, 2021",,4-Approved
1990227799,New Card Is Being Produced,"October 14, 2021",,4-Approved
1990227802,New Card Is Being Produced,"October 14, 2021",,4-Approved
1990323712,Card Was Delivered,"October 14, 2021",,4-Approved
1990323714,Card Was Delivered,"October 14, 2021",,4-Approved
1990323716,Card Was Delivered,"October 14, 2021",,4-Approved
1990323718,Card Was Delivered,"October 14, 2021",,4-Approved
1990323720,Card Was Delivered,"October 14, 2021",,4-Approved
1990323724,Card Was Delivered,"October 14, 2021",,4-Approved
1990323726,Card Was Delivered,"October 14, 2021",,4-Approved
1990334960,Card Was Delivered,"October 14, 2021",,4-Approved
1990227799,Case Was Approved,"October 15, 2021",,4-Approved
1990227802,Case Was Approved,"October 15, 2021",,4-Approved
1990306230,RFE Responded,"October 15, 2021",,2a-RFE
1990335514,RFE Responded,"October 21, 2021",,2a-RFE
1990335516,RFE Responded,"October 21, 2021",,2a-RFE
1990335518,RFE Responded,"October 21, 2021",,2a-RFE
1990227799,Card Was Delivered,"October 22, 2021",,4-Approved
1990227802,Card Was Delivered,"October 22, 2021",,4-Approved
1990251091,Card Was Mailed To Me,"October 22, 2021",,4-Approved
1990318682,RFE Responded,"October 22, 2021",,2a-RFE
1990318685,RFE Responded,"October 22, 2021",,2a-RFE
1990318688,RFE Responded,"October 22, 2021",,2a-RFE
1990301732,Fingerprints Taken,"October 25, 2021",,1-Fingerprint-taken
1990323722,Fingerprints Taken,"October 26, 2021",,1-Fingerprint-taken
1990251091,Card Was Delivered,"October 27, 2021",,4-Approved
1990284788,RFE Responded,"October 29, 2021",,2a-RFE
1990284791,RFE Responded,"October 29, 2021",,2a-RFE
1990284794,RFE Responded,"October 29, 2021",,2a-RFE
1990284797,RFE Responded,"October 29, 2021",,2a-RFE
1990335514,New Card Is Being Produced,"November 1, 2021",,4-Approved
1990335516,New Card Is Being Produced,"November 1, 2021",,4-Approved
1990335518,New Card Is Being Produced,"November 1, 2021",,4-Approved
1990018585,RFE Sent,"November 2, 2021",,2a-RFE
1990335514,Case Was Approved,"November 2, 2021",,4-Approved
1990335516,Case Was Approved,"November 2, 2021",,4-Approved
1990335518,Case Was Approved,"November 2, 2021",,4-Approved
1990291077,RFE Sent,"November 3, 2021",,2a-RFE
1990335514,Card Was Mailed To Me,"November 3, 2021",,4-Approved
1990335516,Card Was Mailed To Me,"November 3, 2021",,4-Approved
1990335518,Card Was Mailed To Me,"November 3, 2021",,4-Approved
1990004430,RFE Sent,"November 4, 2021",,2a-RFE
1990335514,Card Was Delivered,"November 6, 2021",,4-Approved
1990335516,Card Was Delivered,"November 6, 2021",,4-Approved
1990335518,Card Was Delivered,"November 6, 2021",,4-Approved
1990013464,RFE Sent,"November 9, 2021",,2a-RFE
1990242594,RFE Sent,"November 9, 2021",,2a-RFE
1990328498,RFE Sent,"November 9, 2021",,2a-RFE
1990328501,RFE Sent,"November 9, 2021",,2a-RFE
1990311574,RFE Sent,"November 10, 2021",,2a-RFE
1990311577,RFE Sent,"November 10, 2021",,2a-RFE
1990020906,Case Was Transferred,"November 12, 2021",,0-Received
1990020909,Case Was Transferred,"November 12, 2021",,0-Received
1990020912,Case Was Transferred,"November 12, 2021",,0-Received
1990020915,Case Was Transferred,"November 12, 2021",,0-Received
1990271381,RFE Sent,"November 12, 2021",,2a-RFE
1990271384,RFE Sent,"November 12, 2021",,2a-RFE
1990271387,RFE Sent,"November 12, 2021",,2a-RFE
1990271390,RFE Sent,"November 12, 2021",,2a-RFE
1990065824,RFE Sent,"November 15, 2021",,2a-RFE
1990111045,RFE Sent,"November 15, 2021",,2a-RFE
1990111047,RFE Sent,"November 15, 2021",,2a-RFE
1990111049,RFE Sent,"November 15, 2021",,2a-RFE
1990111051,RFE Sent,"November 15, 2021",,2a-RFE
1990328149,Notice Explaining USCIS Actions Was Mailed,"November 15, 2021",,9-Others
1990202371,RFE Sent,"November 16, 2021",,2a-RFE
1990260353,RFE Sent,"November 16, 2021",,2a-RFE
1990323759,RFE Sent,"November 16, 2021",,2a-RFE
1990082354,RFE Sent,"November 17, 2021",,2a-RFE
1990217844,RFE Sent,"November 17, 2021",,2a-RFE
1990044066,Interview Was Ready,"November 18, 2021",,3-Interview
1990111957,Interview Was Ready,"November 18, 2021",,3-Interview
1990111959,Interview Was Ready,"November 18, 2021",,3-Interview
1990111962,Interview Was Ready,"November 18, 2021",,3-Interview
1990212742,New Card Is Being Produced,"November 18, 2021",,4-Approved
1990301732,Interview Was Ready,"November 18, 2021",,3-Interview
1990212742,Case Was Approved,"November 19, 2021",,4-Approved
1990044066,Case Was Transferred,"November 22, 2021",,0-Received
1990111957,Case Was Transferred,"November 22, 2021",,0-Received
1990111959,Case Was Transferred,"November 22, 2021",,0-Received
1990111962,Case Was Transferred,"November 22, 2021",,0-Received
1990128934,RFE Sent,"November 22, 2021",,2a-RFE
1990143451,RFE Responded,"November 22, 2021",,2a-RFE
1990212742,Card Was Mailed To Me,"November 22, 2021",,4-Approved
1990245252,RFE Sent,"November 22, 2021",,2a-RFE
1990300879,RFE Sent,"November 22, 2021",,2a-RFE
1990300881,RFE Sent,"November 22, 2021",,2a-RFE
1990300883,RFE Sent,"November 22, 2021",,2a-RFE
1990300885,RFE Sent,"November 22, 2021",,2a-RFE
1990300887,RFE Sent,"November 22, 2021",,2a-RFE
1990300889,New Card Is Being Produced,"November 22, 2021",,4-Approved
1990027546,RFE Sent,"November 23, 2021",,2a-RFE
1990076618,RFE Sent,"November 23, 2021",,2a-RFE
1990216430,Case Was Denied,"November 23, 2021",,4-Denied
1990300889,Case Was Approved,"November 23, 2021",,4-Approved
1990324109,Interview Was Completed,"November 24, 2021",,3-Interview
1990324112,Interview Was Completed,"November 24, 2021",,3-Interview
1990133491,RFE Sent,"November 24, 2021",,2a-RFE
1990300889,Card Was Mailed To Me,"November 24, 2021",,4-Approved
1990301732,Interview Was Scheduled,"November 27, 2021",,3-Interview
1990044066,Interview Was Scheduled,"November 29, 2021",,3-Interview
1990045773,RFE Sent,"November 29, 2021",,2a-RFE
1990111047,RFE Responded,"November 29, 2021",,2a-RFE
1990111957,Interview Was Scheduled,"November 29, 2021",,3-Interview
1990111959,Interview Was Scheduled,"November 29, 2021",,3-Interview
1990111962,Interview Was Scheduled,"November 29, 2021",,3-Interview
1990212742,Card Was Delivered,"November 29, 2021",,4-Approved
1990020546,RFE Sent,"November 30, 2021",,2a-RFE
1990020549,RFE Sent,"November 30, 2021",,2a-RFE
1990020552,RFE Sent,"November 30, 2021",,2a-RFE
1990020553,RFE Sent,"November 30, 2021",,2a-RFE
1990274755,RFE Sent,"December 1, 2021",,2a-RFE
1990300889,Card Was Delivered,"December 1, 2021",,4-Approved
1990311574,RFE Responded,"December 1, 2021",,2a-RFE
1990311577,RFE Responded,"December 1, 2021",,2a-RFE
1990108278,RFE Sent,"December 2, 2021",,2a-RFE
1990217844,RFE Responded,"December 2, 2021",,2a-RFE
1990226202,RFE Sent,"December 2, 2021",,2a-RFE
1990226205,RFE Sent,"December 2, 2021",,2a-RFE
1990226208,RFE Sent,"December 2, 2021",,2a-RFE
1990226211,RFE Sent,"December 2, 2021",,2a-RFE
1990321195,RFE Sent,"December 2, 2021",,2a-RFE
1990321198,RFE Sent,"December 2, 2021",,2a-RFE
1990321201,RFE Sent,"December 2, 2021",,2a-RFE
1990321204,RFE Sent,"December 2, 2021",,2a-RFE
1990122651,RFE Sent,"December 3, 2021",,2a-RFE
1990187547,New Card Is Being Produced,"December 3, 2021",,4-Approved
1990217844,Name Was Updated,"December 3, 2021",,2c-UpdateInfo
1990323069,RFE Sent,"December 3, 2021",,2a-RFE
1990324109,New Card Is Being Produced,"December 3, 2021",,4-Approved
1990324112,New Card Is Being Produced,"December 3, 2021",,4-Approved
1990111047,New Card Is Being Produced,"December 6, 2021",,4-Approved
1990187547,Case Was Approved,"December 6, 2021",,4-Approved
1990324109,Case Was Approved,"December 6, 2021",,4-Approved
1990324112,Case Was Approved,"December 6, 2021",,4-Approved
1990018585,RFE Responded,"December 7, 2021",,2a-RFE
1990111047,Case Was Approved,"December 7, 2021",,4-Approved
1990202339,Interview Was NoShow,"December 7, 2021",,3-Interview
1990217841,Name Was Updated,"December 7, 2021",,2c-UpdateInfo
1990288111,New Card Is Being Produced,"December 7, 2021",,4-Approved
1990288114,New Card Is Being Produced,"December 7, 2021",,4-Approved
1990288117,New Card Is Being Produced,"December 7, 2021",,4-Approved
1990288120,New Card Is Being Produced,"December 7, 2021",,4-Approved
1990306230,New Card Is Being Produced,"December 7, 2021",,4-Approved
1990323722,RFE Responded,"December 7, 2021",,2a-RFE
1990324109,Card Was Mailed To Me,"December 7, 2021",,4-Approved
1990324112,Card Was Mailed To Me,"December 7, 2021",,4-Approved
1990004430,RFE Responded,"December 8, 2021",,2a-RFE
1990187547,Card Was Mailed To Me,"December 8, 2021",,4-Approved
1990251088,RFE Sent,"December 8, 2021",,2a-RFE
1990288111,Case Was Approved,"December 8, 2021",,4-Approved
1990288114,Case Was Approved,"December 8, 2021",,4-Approved
1990288117,Case Was Approved,"December 8, 2021",,4-Approved
1990288120,Case Was Approved,"December 8, 2021",,4-Approved
1990306230,Case Was Approved,"December 8, 2021",,4-Approved
1990078952,RFE Sent,"December 9, 2021",,2a-RFE
1990111047,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990250013,Interview Was Scheduled,"December 9, 2021",,3-Interview
1990284788,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990284791,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990284794,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990284797,New Card Is Being Produced,"December 9, 2021",,4-Approved
1990288111,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990288114,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990288117,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990288120,Card Was Mailed To Me,"December 9, 2021",,4-Approved
1990312564,RFE Sent,"December 9, 2021",,2a-RFE
1990312567,RFE Sent,"December 9, 2021",,2a-RFE
1990312570,RFE Sent,"December 9, 2021",,2a-RFE
1990312573,RFE Sent,"December 9, 2021",,2a-RFE
1990312576,RFE Sent,"December 9, 2021",,2a-RFE
1990324109,Card Was Delivered,"December 9, 2021",,4-Approved
1990324112,Card Was Delivered,"December 9, 2021",,4-Approved
1990326936,RFE Sent,"December 9, 2021",,2a-RFE
1990284788,Case Was Approved,"December 10, 2021",,4-Approved
1990284791,Case Was Approved,"December 10, 2021",,4-Approved
1990284794,Case Was Approved,"December 10, 2021",,4-Approved
1990284797,Case Was Approved,"December 10, 2021",,4-Approved
1990306230,Card Was Mailed To Me,"December 10, 2021",,4-Approved
1990336457,RFE Sent,"December 10, 2021",,2a-RFE
1990336459,RFE Sent,"December 10, 2021",,2a-RFE
1990336461,RFE Sent,"December 10, 2021",,2a-RFE
1990111047,Card Was Delivered,"December 11, 2021",,4-Approved
1990187547,Card Was Delivered,"December 13, 2021",,4-Approved
1990284788,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990284791,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990284794,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990284797,Card Was Mailed To Me,"December 13, 2021",,4-Approved
1990082354,RFE Responded,"December 14, 2021",,2a-RFE
1990224574,Case Was Denied,"December 14, 2021",,4-Denied
1990271381,RFE Responded,"December 14, 2021",,2a-RFE
1990271384,RFE Responded,"December 14, 2021",,2a-RFE
1990271387,RFE Responded,"December 14, 2021",,2a-RFE
1990271390,RFE Responded,"December 14, 2021",,2a-RFE
1990305917,RFE Responded,"December 14, 2021",,2a-RFE
1990306230,Card Was Delivered,"December 14, 2021",,4-Approved
1990111049,RFE Responded,"December 15, 2021",,2a-RFE
1990111051,RFE Responded,"December 15, 2021",,2a-RFE
1990245252,RFE Responded,"December 15, 2021",,2a-RFE
1990288111,Card Was Delivered,"December 15, 2021",,4-Approved
1990288114,Card Was Delivered,"December 15, 2021",,4-Approved
1990288117,Card Was Delivered,"December 15, 2021",,4-Approved
1990288120,Card Was Delivered,"December 15, 2021",,4-Approved
1990338780,Case Was Denied,"December 15, 2021",,4-Denied
1990338782,Case Was Denied,"December 15, 2021",,4-Denied
1990338784,Case Was Denied,"December 15, 2021",,4-Denied
1990338786,Case Was Denied,"December 15, 2021",,4-Denied
1990018585,Case Was Approved,"December 16, 2021",,4-Approved
1990111045,RFE Responded,"December 16, 2021",,2a-RFE
1990284788,Card Was Delivered,"December 16, 2021",,4-Approved
1990284791,Card Was Delivered,"December 16, 2021",,4-Approved
1990284794,Card Was Delivered,"December 16, 2021",,4-Approved
1990284797,Card Was Delivered,"December 16, 2021",,4-Approved
1990128342,RFE Responded,"December 17, 2021",,2a-RFE
1990300844,Case Was Transferred,"December 17, 2021",,0-Received
1990300847,Case Was Transferred,"December 17, 2021",,0-Received
1990018585,Card Was Mailed To Me,"December 20, 2021",,4-Approved
1990088409,RFE Sent,"December 20, 2021",,2a-RFE
1990088412,RFE Sent,"December 20, 2021",,2a-RFE
1990088415,RFE Sent,"December 20, 2021",,2a-RFE
1990335189,Case Was Transferred,"December 20, 2021",,0-Received
1990335191,Case Was Transferred,"December 20, 2021",,0-Received
1990335195,Case Was Transferred,"December 20, 2021",,0-Received
1990065824,RFE Responded,"December 21, 2021",,2a-RFE
1990202345,Interview Was Completed,"December 22, 2021",,3-Interview
1990305917,New Card Is Being Produced,"December 21, 2021",,4-Approved
1990335119,Case Was Transferred,"December 21, 2021",,0-Received
1990335121,Case Was Transferred,"December 21, 2021",,0-Received
1990076618,RFE Responded,"December 22, 2021",,2a-RFE
1990202339,Case Was Transferred,"December 23, 2021",,0-Received
1990226252,RFE Sent,"December 22, 2021",,2a-RFE
1990305917,Case Was Approved,"December 23, 2021",,4-Approved
1990323759,RFE Responded,"December 22, 2021",,2a-RFE
1990305917,Card Was Mailed To Me,"December 23, 2021",,4-Approved
1990328357,Expedite Request Received,"December 27, 2021",,2b-Expedite
1990005760,Name Was Updated,"December 28, 2021",,2c-UpdateInfo
1990260353,RFE Responded,"December 28, 2021",,2a-RFE
1990291077,New Card Is Being Produced,"December 28, 2021",,4-Approved
1990017608,Fingerprints Taken,"December 30, 2021",,1-Fingerprint-taken
1990018585,Card Was Delivered,"December 29, 2021",,4-Approved
1990107286,RFE Sent,"December 29, 2021",,2a-RFE
